username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-24 04:54;1;6;"Adorable";;;;"911891461976637440";https://twitter.com/Nidhi/status/911891461976637440
;2017-09-23 08:05;0;9;"";;;;"911577354794700800";https://twitter.com/Nidhi/status/911577354794700800
;2017-09-23 07:47;0;7;"Lol";;;;"911572805644320769";https://twitter.com/Nidhi/status/911572805644320769
;2017-09-23 06:26;0;9;"Very inspiring!";;;;"911552258784993280";https://twitter.com/Nidhi/status/911552258784993280
;2017-09-23 01:47;0;29;"Sigh it never was according to me";;;;"911482252411805697";https://twitter.com/Nidhi/status/911482252411805697
;2017-09-23 01:47;0;1;"Go to the advanced filters";;;;"911482170232905728";https://twitter.com/Nidhi/status/911482170232905728
;2017-09-23 01:47;0;2;"Yes that’s what I’m saying. Go to your mentions and press the cog on the corner. You’ll see the options";;;;"911482065379459072";https://twitter.com/Nidhi/status/911482065379459072
;2017-09-23 01:43;0;8;"Aunin has to cleen his brush";;;;"911481079822934016";https://twitter.com/Nidhi/status/911481079822934016
;2017-09-23 01:42;0;3;"Yes you can in your mentions. Go to the settings";;;;"911480971127537664";https://twitter.com/Nidhi/status/911480971127537664
;2017-09-22 23:14;3;59;"Both";;;;"911443569692381184";https://twitter.com/Nidhi/status/911443569692381184
;2017-09-22 12:04;1;18;"Wonder what took them so long";;;;"911274914270765057";https://twitter.com/Nidhi/status/911274914270765057
;2017-09-22 12:00;481;523;"Income tax department sends notice to Harsh Mander’s institute via @htTweets http:// m.hindustantimes.com/india-news/inc ome-tax-department-sends-notice-to-harsh-mander-s-institute/story-5dQC7h5ga92XsUQGMlbynJ.html …";;@htTweets;;"911274042098827264";https://twitter.com/Nidhi/status/911274042098827264
;2017-09-22 08:48;0;3;"Haha I’ve tried it all, so I sympathise";;;;"911225640229117953";https://twitter.com/Nidhi/status/911225640229117953
;2017-09-22 08:43;3;32;"Life is too short to live on fruit";;;;"911224386685886465";https://twitter.com/Nidhi/status/911224386685886465
;2017-09-22 08:38;27;109;"Great reporting by Praveen, also my colleague @Monideepa62 from Bangladesh https:// twitter.com/praveenswami/s tatus/911221167851270144 …";;@Monideepa62;;"911223101282689024";https://twitter.com/Nidhi/status/911223101282689024
;2017-09-21 23:49;0;15;"What happened?";;;;"911090153854087168";https://twitter.com/Nidhi/status/911090153854087168
;2017-09-21 11:28;0;4;"No I don’t agree. Also @rupagulab I have a lot of regard for Ashok Malik who is a wonderful person. So please let’s not get personal";;@rupagulab;;"910903477533949952";https://twitter.com/Nidhi/status/910903477533949952
;2017-09-21 10:27;495;991;"So has anyone from the BJP condemned this language today? https:// twitter.com/priyankac19/st atus/910574223059324928 …";;;;"910888206601555969";https://twitter.com/Nidhi/status/910888206601555969
;2017-09-21 10:21;0;5;"We’ve covered the story as well. Some days ago";;;;"910886634958184449";https://twitter.com/Nidhi/status/910886634958184449
;2017-09-21 09:07;11;51;"Great piece with a lesson for all of us https:// twitter.com/indira_l/statu s/910540650466234368 …";;;;"910868150605852673";https://twitter.com/Nidhi/status/910868150605852673
;2017-09-21 08:45;0;4;"OMG so adorable !";;;;"910862428400840706";https://twitter.com/Nidhi/status/910862428400840706
;2017-09-21 08:44;0;3;"Press club protest is tomorrow";;;;"910862265385021440";https://twitter.com/Nidhi/status/910862265385021440
;2017-09-21 08:25;0;6;"Actually the first one on this. Anything else ?";;;;"910857585632280577";https://twitter.com/Nidhi/status/910857585632280577
;2017-09-21 08:22;56;282;"At 8pm: has @OfficeOfRG got an image makeover with his US trip? And the murder of a Tripura reporter.Journalists soft targets?";;@OfficeOfRG;;"910856816325681158";https://twitter.com/Nidhi/status/910856816325681158
;2017-09-21 07:37;0;19;"You need to talk to my mom";;;;"910845525401800704";https://twitter.com/Nidhi/status/910845525401800704
;2017-09-21 04:18;21;105;"Now at 9:30pm https:// twitter.com/nidhi/status/9 10774392191193088 …";;;;"910795253841510400";https://twitter.com/Nidhi/status/910795253841510400
;2017-09-21 02:55;37;154;"Watch @soniandtv in conversation with @HillaryClinton , first airing tonight at 10pm";;@soniandtv @HillaryClinton;;"910774392191193088";https://twitter.com/Nidhi/status/910774392191193088
;2017-09-21 02:37;0;3;"I had the same thought. Yes it’s heating up too";;;;"910769878012903424";https://twitter.com/Nidhi/status/910769878012903424
;2017-09-21 02:32;60;136;"Big story from J and K: senior minister Naeem Akhtar’s carcarde attacked, minister unhurt, many security men injured, casualties reported";;;;"910768630412877824";https://twitter.com/Nidhi/status/910768630412877824
;2017-09-20 22:53;0;5;"Hehe";;;;"910713689413623808";https://twitter.com/Nidhi/status/910713689413623808
;2017-09-20 22:44;40;270;"Anyone else having battery problems after downloading IOS11 ?";;;;"910711305346023424";https://twitter.com/Nidhi/status/910711305346023424
;2017-09-20 22:40;46;97;"Great piece by @pujamehra . Quoted from it last night on @LRC_NDTV https:// twitter.com/memeghnad/stat us/910701282511413248 …";;@pujamehra @LRC_NDTV;;"910710376945246208";https://twitter.com/Nidhi/status/910710376945246208
;2017-09-20 13:00;0;20;"Haha I love that response";;;;"910564310211895301";https://twitter.com/Nidhi/status/910564310211895301
;2017-09-20 12:46;0;4;"Tv news is better than that";;;;"910560701172682752";https://twitter.com/Nidhi/status/910560701172682752
;2017-09-20 12:17;0;14;"Wow!";;;;"910553472050782208";https://twitter.com/Nidhi/status/910553472050782208
;2017-09-20 12:10;3;19;"";;;;"910551650707709952";https://twitter.com/Nidhi/status/910551650707709952
;2017-09-20 10:02;162;375;"We are debating the economy https:// twitter.com/pankajpachauri /status/910519161100496898 …";;;;"910519606997008384";https://twitter.com/Nidhi/status/910519606997008384
